,Open,High,Low,Close,Volume,Change,code
2020-01-02,55500,56000,55000,55200,12993228,-0.010752688172043012,005930
2020-01-03,56000,56600,54900,55500,15422255,0.005434782608695652,005930
2020-01-06,54900,55600,54600,55500,10278951,0.0,005930
2020-01-07,55700,56400,55600,55800,10009778,0.005405405405405406,005930
2020-01-08,56200,57400,55900,56800,23501171,0.017921146953405017,005930
2020-01-09,58400,58600,57400,58600,24102579,0.03169014084507042,005930
2020-01-10,58800,59700,58300,59500,16000170,0.015358361774744027,005930
2020-01-13,59600,60000,59100,60000,11359139,0.008403361344537815,005930
2020-01-14,60400,61000,59900,60000,16906295,0.0,005930
2020-01-15,59500,59600,58900,59000,14300928,-0.016666666666666666,005930
2020-01-16,59100,60700,59000,60700,14381774,0.0288135593220339,005930
2020-01-17,61900,62000,61000,61300,16025661,0.009884678747940691,005930
2020-01-20,62000,62800,61700,62400,12528855,0.01794453507340946,005930
2020-01-21,62000,62400,61200,61400,11142693,-0.016025641025641024,005930
2020-01-22,60500,62600,60400,62300,15339565,0.014657980456026058,005930
2020-01-23,61800,61800,60700,60800,14916555,-0.024077046548956663,005930
2020-01-28,59400,59400,58300,58800,23664541,-0.03289473684210526,005930
2020-01-29,59100,59700,58800,59100,16446102,0.005102040816326531,005930
2020-01-30,58800,58800,56800,57200,20821939,-0.032148900169204735,005930
2020-01-31,57800,58400,56400,56400,19749457,-0.013986013986013986,005930
2020-02-03,55500,57400,55200,57200,23995260,0.014184397163120567,005930
2020-02-04,57100,59000,56800,58900,21800192,0.02972027972027972,005930
2020-02-05,60000,60200,58900,59500,19278165,0.010186757215619695,005930
2020-02-06,60100,61100,59700,61100,14727159,0.02689075630252101,005930
2020-02-07,61100,61200,59700,60400,16402493,-0.011456628477905073,005930
2020-02-10,59200,59800,59100,59700,13107121,-0.011589403973509932,005930
2020-02-11,59800,60700,59700,59900,11071231,0.0033500837520938024,005930
2020-02-12,60300,60700,59700,60500,12904207,0.01001669449081803,005930
2020-02-13,61200,61600,60500,60700,18449775,0.003305785123966942,005930
2020-02-14,60900,61900,60200,61800,13276067,0.018121911037891267,005930
2020-02-17,61600,62000,61200,61500,8740596,-0.0048543689320388345,005930
2020-02-18,60800,60900,59700,59800,16674266,-0.027642276422764227,005930
2020-02-19,59800,60400,59400,60200,12951496,0.006688963210702341,005930
2020-02-20,60700,61300,59600,60000,14591924,-0.0033222591362126247,005930
2020-02-21,58800,59800,58500,59200,13777393,-0.013333333333333334,005930
2020-02-24,57400,58100,56800,56800,25627537,-0.04054054054054054,005930
2020-02-25,56200,58000,56200,57900,23885408,0.01936619718309859,005930
2020-02-26,56000,57000,56000,56500,25483102,-0.024179620034542316,005930
2020-02-27,56300,56900,55500,55900,23209541,-0.01061946902654867,005930
2020-02-28,55000,55500,54200,54200,30054227,-0.030411449016100177,005930
2020-03-02,54300,55500,53600,55000,30403412,0.014760147601476014,005930
2020-03-03,56700,56900,55100,55400,30330295,0.007272727272727273,005930
2020-03-04,54800,57600,54600,57400,24765728,0.036101083032490974,005930
2020-03-05,57600,58000,56700,57800,21698990,0.006968641114982579,005930
2020-03-06,56500,57200,56200,56500,18716656,-0.02249134948096886,005930
2020-03-09,54700,55000,53600,54200,30261485,-0.04070796460176991,005930
2020-03-10,53800,54900,53700,54600,32106554,0.007380073800738007,005930
2020-03-11,54300,54400,52000,52100,45707281,-0.045787545787545784,005930
2020-03-12,51000,51900,49300,50800,48149999,-0.02495201535508637,005930
2020-03-13,47450,51600,46850,49950,59462933,-0.01673228346456693,005930
2020-03-16,50100,50900,48800,48900,33339821,-0.021021021021021023,005930
2020-03-17,46900,49650,46700,47300,51218151,-0.032719836400818,005930
2020-03-18,47750,48350,45600,45600,40152623,-0.035940803382663845,005930
2020-03-19,46400,46650,42300,42950,56925513,-0.0581140350877193,005930
2020-03-20,44150,45500,43550,45400,49730008,0.0570430733410943,005930
2020-03-23,42600,43550,42400,42500,41701626,-0.06387665198237885,005930
2020-03-24,43850,46950,43050,46950,49801908,0.10470588235294118,005930
2020-03-25,48950,49600,47150,48650,52735922,0.0362087326943557,005930
2020-03-26,49000,49300,47700,47800,42185129,-0.017471736896197326,005930
2020-03-27,49600,49700,46850,48300,39896178,0.010460251046025104,005930
2020-03-30,47050,48350,46550,47850,26797395,-0.009316770186335404,005930
2020-03-31,48000,48500,47150,47750,30654261,-0.0020898641588296763,005930
2020-04-01,47450,47900,45800,45800,27259532,-0.040837696335078534,005930
2020-04-02,46200,46850,45350,46800,21621076,0.021834061135371178,005930
2020-04-03,47400,47600,46550,47000,22784682,0.004273504273504274,005930
2020-04-06,47500,48800,47250,48700,23395726,0.036170212765957444,005930
2020-04-07,49650,50200,49000,49600,31524034,0.018480492813141684,005930
2020-04-08,49600,49750,48600,48600,25010314,-0.020161290322580645,005930
2020-04-09,49750,49800,48700,49100,22628058,0.0102880658436214,005930
2020-04-10,48950,49250,48650,49250,17839111,0.0030549898167006105,005930
2020-04-13,48650,48900,48300,48300,14431800,-0.019289340101522844,005930
2020-04-14,48800,49200,48300,49000,14206216,0.014492753623188406,005930
2020-04-16,49350,49350,48550,49000,23349760,0.0,005930
2020-04-17,50800,52000,50300,51400,32041675,0.0489795918367347,005930
2020-04-20,51400,51400,50000,50100,21866354,-0.02529182879377432,005930
