name,url,description,category
AuthTuna,https://github.com/shashstormer/AuthTuna,"– Security framework designed for modern async Python applications with first-class FastAPI support but framework-agnostic core capabilities. Features comprehensive authentication systems including traditional login flows, social SSO integration (Google, GitHub), multi-factor authentication with TOTP and email verification, role-based access control (RBAC), and fine-grained permission checking. Includes session management with device fingerprinting, database-backed storage, configurable lifetimes, and security controls for device/IP/region restrictions. Provides built-in user dashboard, email verification systems, WebAuthn support, and extensive configuration options for deployment in various environments from development to production with secrets manager integration. GitHub stars",Runners-up - General use
FastRTC,https://github.com/gradio-app/fastrtc,"– Real-time communication library that transforms Python functions into audio and video streams over WebRTC or WebSockets. Features automatic voice detection and turn-taking for conversational applications, built-in Gradio UI for testing, automatic WebRTC and WebSocket endpoints when mounted on FastAPI apps, and telephone support with free temporary phone numbers. Supports both audio and video streaming modalities with customizable backends, making it suitable for building voice assistants, video chat applications, real-time transcription services, and computer vision applications. The library integrates seamlessly with popular AI services like OpenAI, Anthropic Claude, and Google Gemini for creating intelligent conversational interfaces. GitHub stars",Runners-up - General use
hexora,https://github.com/rushter/hexora,"– Static analysis tool specifically designed to identify malicious and harmful patterns in Python code for security auditing purposes. Features over 30 detection rules covering code execution, obfuscation, data exfiltration, suspicious imports, and malicious payloads, with confidence-based scoring to distinguish between legitimate and malicious usage. Supports auditing individual files, directories, and virtual environments with customizable output formats and filtering options. Particularly useful for supply-chain attack detection, dependency auditing, and analyzing potentially malicious scripts from various sources including PyPI packages and security incidents. GitHub stars",Runners-up - General use
opentemplate,https://github.com/open-nudge/opentemplate,"– All-in-one Python project template that provides a complete development environment with state-of-the-art tooling for code quality, security, and automation. Template includes comprehensive code formatting and linting with ruff and basedpyright, automated testing across Python versions with pytest, MkDocs documentation with automatic deployment, and extensive security features including SLSA Level 3 compliance, SBOMs, and static security analysis. Features a unified configuration system through pyproject.toml that controls pre-commit hooks, GitHub Actions, and all development tools, along with automated dependency updates, release management, and comprehensive GitHub repository setup with templates, labels, and security policies. GitHub stars",Runners-up - General use
PyByntic,https://github.com/sijokun/PyByntic,"– Extension to Pydantic that enables binary serialization of models using custom binary types and annotations. Features include type-safe binary field definitions with precise control over numeric types (Int8, UInt32, Float64, etc.), string handling with variable and fixed-length options, date/time serialization, and support for nested models and lists. The package offers significant size efficiency compared to JSON serialization, making it ideal for applications requiring compact data storage or network transmission. Development includes comprehensive testing, compression support, and custom encoder capabilities for specialized use cases. GitHub stars",Runners-up - General use
pyochain,https://github.com/OutSquareCapital/pyochain,"– Functional-style method chaining library that brings fluent, declarative APIs to Python iterables and dictionaries. It provides core components including Iter[T] for lazy operations on iterators, Seq[T] for eager evaluation of sequences, Dict[K, V] for chainable dictionary manipulation, Result[T, E] for explicit error handling, and Option[T] for safe optional value handling. The library emphasizes type safety through extensive use of generics and overloads, operates with lazy evaluation for efficiency on large datasets, and encourages functional paradigms by composing simple, reusable functions rather than implementing custom classes. GitHub stars",Runners-up - General use
Pyrefly,https://github.com/facebook/pyrefly,"– Type checker and language server that combines lightning-fast type checking with comprehensive IDE features including code navigation, semantic highlighting, and code completion. Built in Rust for performance, it features advanced type inference capabilities, flow-sensitive type analysis, and module-level incrementality with optimized parallelism. The tool supports both command-line usage and editor integration, with particular focus on large-scale codebases through its modular architecture that handles strongly connected components of modules efficiently. draws inspiration from established type checkers like Pyre, Pyright, and MyPy while making distinct design choices around type inference, flow types, and incremental checking strategies. GitHub stars",Runners-up - General use
reaktiv,https://github.com/buiapp/reaktiv,"– State management library that enables declarative reactive programming through automatic dependency tracking and updates. It provides three core building blocks - Signal for reactive values, Computed for derived state, and Effect for side effects - that work together like Excel spreadsheets where changing one value automatically recalculates all dependent formulas. The library features lazy evaluation, smart memoization, fine-grained reactivity that only updates what changed, and full type safety support. It addresses common state management problems by eliminating forgotten updates, preventing inconsistent data, and making state relationships explicit and centralized. GitHub stars",Runners-up - General use
Scraperr,https://github.com/jaypyles/Scraperr,"– Self-hosted web scraping solution designed for extracting data from websites without requiring any coding knowledge. Features XPath-based element targeting, queue management for multiple scraping jobs, domain spidering capabilities, custom headers support, automatic media downloads, and results visualization in structured table formats. Built with FastAPI backend and Next.js frontend, it provides data export options in markdown and CSV formats, notification channels for job completion, and a user-friendly interface for managing scraping operations. The platform emphasizes ethical scraping practices and includes comprehensive documentation for deployment using Docker or Helm. GitHub stars",Runners-up - General use
Skills,https://github.com/anthropics/skills,"– Repository of example skills for Claude's skills system that demonstrates various capabilities ranging from creative applications like art and music to technical tasks such as web app testing and MCP server generation. The skills are self-contained folders with SKILL.md files containing instructions and metadata that Claude loads dynamically to improve performance on specialized tasks. The repository includes both open-source example skills under Apache 2.0 license and source-available document creation skills that power Claude's production document capabilities, serving as reference implementations for developers creating their own custom skills. GitHub stars",Runners-up - General use
